1546553431.461619,0,0
1546553436.466695,1183,686
1546553441.471781,555,504
1546553446.473959,1340,26534
1546553451.479046,1329,675
1546553456.484136,132,194
1546553461.48924,198,296
1546553466.494337,6862,2505
1546553471.497896,240,336
1546553476.50303,132,194
1546553481.508118,198,294
1546553486.508986,187,272
1546553491.514062,198,294
1546553496.517624,132,194
1546553501.522725,268,294
1546553506.527808,187,272
1546553511.532879,240,336
1546553516.53792,270,398
1546553521.543009,198,296
1546553526.548133,132,194
1546553531.553219,6873,2431
1546553536.558322,187,272
1546553541.563425,198,294
1546553546.568514,132,194
1546553551.569915,240,336
1546553556.575015,187,272
1546553561.580128,198,294
1546553566.585208,556,566
1546553571.585916,132,197
1546553576.591012,391,573
1546553581.596127,132,199
1546553586.599627,198,291
