timestamp,rx_byte,tx_byte
1546530887.17069,0,0
1546530892.173358,15093,5058
1546530897.178466,1974,1085
1546530902.18357,1901,1032
1546530907.1887,698,632
1546530912.193805,0,0
1546530917.197356,6675,1945
1546530922.202462,1960,18214
1546530927.207539,903,750
1546530932.21265,132,197
1546530937.217758,198,291
1546530942.222878,187,275
1546530947.227986,198,291
1546530952.233094,6849,2360
1546530957.238198,198,291
1546530962.241429,187,277
1546530967.246341,198,291
1546530972.251415,132,197
1546530977.256512,198,291
1546530982.261667,187,278
1546530987.261939,240,333
1546530992.265342,132,197
1546530997.268395,198,291
1546531002.273462,187,275
1546531007.27856,198,291
1546531012.281359,6849,2376
1546531017.282058,198,291
1546531022.287233,325,481
1546531027.292384,339,425
1546531032.297494,1551,958
1546531037.301974,3276,2130
1546531042.307092,55,78
