1546554500.83879,0,0
1546554505.843895,478,483
1546554510.848967,0,0
1546554515.854052,0,0
1546554520.856445,0,0
1546554525.857362,55,78
1546554530.861912,0,0
1546554535.866998,1540,3093
1546554540.872086,42,42
1546554545.877159,55,78
1546554550.881918,6675,2137
1546554555.885921,0,0
1546554560.891016,138,204
1546554565.896107,1250,22220
1546554570.901195,0,0
1546554575.90628,0,0
1546554580.911369,0,0
1546554585.916463,55,78
1546554590.921557,42,42
1546554595.926646,0,0
1546554600.92723,282,270
1546554605.933259,55,78
1546554610.938348,6675,2137
1546554615.940533,6836,1230
1546554620.941937,0,0
1546554625.947027,55,78
1546554630.952111,6675,2430
1546554635.956604,0,0
1546554640.960165,0,0
1546554645.960445,55,78
1546554650.961911,42,42
1546554655.966994,0,0
